ctrl+c     |  copy
ctrl+s     |  save
ctrl+x     |  cut
ctrl+v     |  paste
ctrl+r     |  replace
ctrl+f     |  find
ctrl+a     |  select all
ctrl+z     |  undo
ctrl+shift+z |  redo
alt+↓/↑; |  move line up/down
alt+shift+⬇️|  duplicate line
alt+s      |  reformat file
ctrl + /   |  Comment With Line Comment
alt+←/→    |  Back/Forward
ctrl+b     |  toggle primary side bar visiability

ctrl+j     |  Left
ctrl+u | move caret to previous word with selection
ctrl+k     |  Right
ctrl+o | move caret to next word with selection
ctrl+i     |  Up
ctrl+m     |  Down
ctrl+h     |  Move caret To line head
ctrl+;     |  Move caret To line end
ctrl+l     |  expand line selection

ctrl+点击/d  |  Go To Declaration Or Usage
ctrl+e     |  Next highlighted Error
ctrl+p     |  Search EveryWhere
shift+shift/shift+/ | find file
alt+h      |  type hierarchy
alt+enter   | show quick fix
f6      | refactor
ctrl + enter  | accept ai tool advice
(shift) +f5 | run(debug)
ctrl + t | toggle terminal
ctrl + n | recent file
f4       | select in(only jetbrains)
